Titre : Paiements;;;;;;;;;;;;;;;;
Compte client : 78569-MELJAC-Standard-Domestique-EUR;;;;;;;;;;;;;;;;
Export réalisé le : 21/03/2024;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Raison sociale;SIREN;NIC;Code acheteur;Ma référence;Mode de paiement;Date de saisie;Montant (EUR);Montant affecté (EUR);Solde;Statut;Numéro de paiement;Date d'échéance;Motif de non affectation;Nom du donneur d'ordre;Numéro du document;Type de document
LCRB BAT;537545394;42;6445307;878;Virement;10/11/2023;8 497,74;8 497,74;0;Paiement affecté;69328762;-;;SARL LC DECO                       ;69328762;Rétrocession d'un crédit
LCRB BAT;537545394;42;6445307;878;Virement;10/11/2023;3 558,14;3 558,14;0;Paiement affecté;69328764;-;;SARL LC DECO                       ;69328764;Rétrocession d'un crédit
G & D CONCEPTS;449606565;41;6598447;5316;Virement;10/11/2023;236,47;236,47;0;Paiement affecté;69328758;-;;G   D CONCEPTS                     ;69328758;Rétrocession d'un crédit
VERNASSA ELECTRICITE;500194188;16;7096087;5792;Virement;10/11/2023;208,76;208,76;0;Paiement affecté;69328768;-;;SARL  VERNASSA ELECTRICITE         ;202305867;Facture
LUMIDIS;382537504;13;4640861;502;Virement;09/11/2023;30 921,98;30 921,98;0;Paiement affecté;69320783;-;;LUMIDIS                            ;plusieurs documents associées;SOLDE
TSEE FRANCE;799155858;19;6211145;1449;Virement;09/11/2023;3 907,67;3 907,67;0;Paiement affecté;69320784;-;;TSEE FRANCE                        ;plusieurs documents associées;SOLDE
G & D CONCEPTS;449606565;41;6598447;5316;Virement;09/11/2023;693,52;693,52;0;Paiement affecté;69320787;-;;G   D CONCEPTS                     ;69320787;Rétrocession d'un crédit
G & D CONCEPTS;449606565;41;6598447;5316;Virement;09/11/2023;448,04;448,04;0;Paiement affecté;69320789;-;;G   D CONCEPTS                     ;69320789;Rétrocession d'un crédit
DURET ELECTRICITE;412337537;44;7365867;2535;Virement;09/11/2023;930,24;930,24;0;Paiement affecté;69320785;-;;DURET ELECTRICITE                  ;202305433;Facture
SERRA LUMINAIRE CONTEMPORAIN;420106346;18;4640827;1386;Virement;08/11/2023;3 853,66;3 853,66;0;Paiement affecté;69313060;-;;SARL SERRA                         ;202306065;Facture
ESPACE LUMIERE;309931830;33;4641961;610;Virement;08/11/2023;187,79;187,79;0;Paiement affecté;69313064;-;;ESPACE LUMIERE                     ;plusieurs documents associées;SOLDE
PROLUM NORD PAS DE CALAIS;448384347;51;4672951;8633;Virement;08/11/2023;35,78;35,78;0;Paiement affecté;69313068;-;;PROLUM NORD PAS DE CALAIS          ;202305701;Facture
BITAROFF;498974146;17;4744956;227;Virement;08/11/2023;103,58;103,58;0;Paiement affecté;69313067;-;;BITAROFF                           ;202306615;Facture
BITAROFF;498974146;17;4744956;227;Virement;08/11/2023;2 864,88;2 864,88;0;Paiement affecté;69313061;-;;BITAROFF                           ;202306683;Facture
STUDIO ON;812801199;17;5097886;10437;Virement;08/11/2023;165,01;165,01;0;Paiement affecté;69313065;-;;SARL STUDIO ON                     ;202306707;Facture
STUDIO ON;812801199;17;5097886;10437;Virement;08/11/2023;107,26;107,26;0;Paiement affecté;69313066;-;;SARL STUDIO ON                     ;202306706;Facture
HENRI;702016452;22;5339496;778;Virement;08/11/2023;10 277,62;10 277,62;0;Paiement affecté;69313059;-;;ETS HENRI                          ;plusieurs documents associées;SOLDE
CABANES BARTHEROTTE & FRERES;450008578;20;5916892;3278;Virement;08/11/2023;1 591,36;1 591,36;0;Paiement affecté;69313063;-;;CABANES BARTHEROTTE   FRERES       ;202306230;Facture
IT'LEC;444126528;66;7289498;17155;Chèque;08/11/2023;686,8;686,8;0;Paiement affecté;69313058;-;;                                   ;202305578;Facture
ENT D'ELECTRICITE BRENGUIER;423072172;38;4844999;264;Virement;07/11/2023;6,24;6,24;0;Paiement affecté;69302574;-;;SARL ENT D ELECTRICITE BRENGUIER   ;plusieurs documents associées;SOLDE
DELUX;500478813;16;4777577;479;Virement;07/11/2023;83,08;83,08;0;Paiement affecté;69302570;-;;DELUX                              ;202305624;Facture
PARIS DESIGN DISTRICT;811849470;26;5128713;9813;Virement;07/11/2023;387,76;387,76;0;Paiement affecté;69302569;-;;PARIS DESIGN DISTRICT              ;plusieurs documents associées;SOLDE
ASMI;387765340;30;7109008;15261;Virement;07/11/2023;52,96;52,96;0;Paiement affecté;69302572;-;;A.S.M.I                            ;202306371;Facture
LUMITHEQUE;528075625;46;7373761;5299;Virement;07/11/2023;413,38;413,38;0;Paiement affecté;69302567;-;;LUMITHEQUE                         ;202306175;Facture
STUDIO ON;812801199;17;5097886;10437;Virement;06/11/2023;1 782,55;1 782,55;0;Paiement affecté;69293548;-;;SARL STUDIO ON                     ;202303577;Facture
STUDIO ON;812801199;17;5097886;10437;Virement;06/11/2023;528,71;528,71;0;Paiement affecté;69293550;-;;SARL STUDIO ON                     ;69293550;Rétrocession d'un crédit
STUDIO ON;812801199;17;5097886;10437;Virement;06/11/2023;515,65;515,65;0;Paiement affecté;69293552;-;;SARL STUDIO ON                     ;69293552;Rétrocession d'un crédit
MAWA;499761567;35;6946719;c15096;Virement;06/11/2023;144,8;144,8;0;Paiement affecté;69293555;-;;MAWA SAS                           ;202305827;Facture
LAURIA FRERES;441386232;25;7128841;902;Virement;06/11/2023;18 586,90;18 586,90;0;Paiement affecté;69293546;-;;LAURIA FRERES                      ;202305773;Facture
BALANCE MELJAC;999018989;78569;7777777;;Virement;06/11/2023;320,45;320,45;0;Paiement affecté;69293554;-;;ELECTRICITE GENERALE MODERNE       ;69293554;Rétrocession d'un crédit
ETS JEAN GRANIOU;958803553;97;5767532;739;Virement;06/11/2023;62 953,27;62 953,27;0;Paiement affecté;69293545;-;;ETABLISSEMENTS  JEAN  GRANIOU      ;plusieurs documents associées;SOLDE
SERRA LUMINAIRE CONTEMPORAIN;420106346;18;4640827;1386;Virement;03/11/2023;5 532,03;5 532,03;0;Paiement affecté;69280451;-;;SARL SERRA                         ;plusieurs documents associées;SOLDE
LUX DESIGN;500842752;15;4786559;7375;Virement;03/11/2023;837,52;837,52;0;Paiement affecté;69280452;-;;SARL LUX DESIGN                    ;202305490;Facture
STUDIO ON;812801199;17;5097886;10437;Virement;03/11/2023;246,48;246,48;0;Paiement affecté;69280457;-;;SARL STUDIO ON                     ;202304065;Facture
STUDIO ON;812801199;17;5097886;10437;Virement;03/11/2023;76,73;76,73;0;Paiement affecté;69280458;-;;SARL STUDIO ON                     ;202305792;Facture
STUDIO ON;812801199;17;5097886;10437;Virement;03/11/2023;40,9;40,9;0;Paiement affecté;69280460;-;;SARL STUDIO ON                     ;202305795;Facture
PROLUM ATLANTIQUE;834606501;23;7238662;16787;Virement;03/11/2023;1 132,95;1 132,95;0;Paiement affecté;69280455;-;;PROLUM ATLANTIQUE                  ;plusieurs documents associées;SOLDE
MAWA MONACO;997003850;98000;7563852;17651;Virement;03/11/2023;199,58;199,58;0;Paiement affecté;69280454;-;;MAWA MONACO                        ;202306054;Facture
STE D'EXPLOITATION MARILLIER;345308365;21;4640874;1003;Virement;02/11/2023;46,06;46,06;0;Paiement affecté;69266042;-;;SARL  SE MARILLIER                 ;202306293;Facture
GUY MUFFAT ELECTRICITE;328648605;25;4646612;1085;Virement;02/11/2023;241,3;241,3;0;Paiement affecté;69266021;-;;GUY MUFFAT ELECTRICITE             ;202305812;Facture
TAT ELECTRICITE;397607011;38;4672916;1443;Virement;02/11/2023;1 616,69;1 616,69;0;Paiement affecté;69266014;-;;SARL TAT ELECTRICITE               ;202305752;Facture
SR ELECTROTECHNIQUE;488375072;37;4672931;2983;Virement;02/11/2023;9 614,40;9 614,40;0;Paiement affecté;69266009;-;;SOCIETE SR                         ;plusieurs documents associées;SOLDE
VOLTEX S N;391567823;11;4718351;1552;Virement;02/11/2023;146,83;146,83;0;Paiement affecté;69266031;-;;VOLTEX                             ;202305421;Facture
PRODHEV;508150042;36;4777587;7104;Virement;02/11/2023;1 145,51;1 145,51;0;Paiement affecté;69266019;-;;KONCEPT VYP 2018                   ;202306053;Facture
OMNILUM;534132444;17;5567723;5464;Virement;02/11/2023;87,28;87,28;0;Paiement affecté;69266036;-;;SARL OMNILUM                       ;202305934;Facture
ECLAIRAGE LED DIFFUSION;822114336;16;5766629;12518;Virement;02/11/2023;208,21;208,21;0;Paiement affecté;69266026;-;;SAS   ECLAIRAGE LED DIFFUSION      ;202305498;Facture
ECLAIRAGE LED DIFFUSION;822114336;16;5766629;12518;Virement;02/11/2023;208,21;208,21;0;Paiement affecté;69266029;-;;SAS   ECLAIRAGE LED DIFFUSION      ;202305436;Facture
ECLAIRAGE LED DIFFUSION;822114336;16;5766629;12518;Virement;02/11/2023;74,23;74,23;0;Paiement affecté;69266039;-;;SAS   ECLAIRAGE LED DIFFUSION      ;202305576;Facture
ETS JEAN GRANIOU;958803553;97;5767532;739;Virement;02/11/2023;2 231,34;2 231,34;0;Paiement affecté;69266013;-;;ETABLISSEMENTS  JEAN  GRANIOU      ;plusieurs documents associées;SOLDE
MEGALUX MI;531365393;10;4665330;6629;Virement;02/11/2023;105,59;105,59;0;Paiement affecté;69266034;-;;MEGALUX MI SARL                    ;plusieurs documents associées;SOLDE
ANGE ET LUX;491308474;23;4640864;8279;Virement;31/10/2023;1 393,06;1 393,06;0;Paiement affecté;69251073;-;;ANGE ET LUX                        ;202305919;Facture
MEGALUX MI;531365393;10;4665330;6629;Virement;31/10/2023;221,3;221,3;0;Paiement affecté;69251075;-;;MEGALUX MI SARL                    ;202305491;Facture
GS2E;520563602;25;4669336;4081;Virement;31/10/2023;35,83;35,83;0;Paiement affecté;69251076;-;;GS2E                               ;202305937;Facture
SODELECT;380461855;47;4672914;1415;Virement;31/10/2023;17 014,87;17 014,87;0;Paiement affecté;69251069;-;;SODELECT SARL                      ;202305309;Facture
ELECTRICITE PLAFONDS LUMIERE;380428011;49;4718343;556;Virement;31/10/2023;420,88;420,88;0;Paiement affecté;69251074;-;;ELECTRICITE PLAFONDS LUMIERE       ;202305566;Facture
CLEMANCON;322134107;42;5282692;7443;Virement;31/10/2023;1 580,62;1 580,62;0;Paiement affecté;69251072;-;;CLEMANCON                          ;plusieurs documents associées;SOLDE
IMBERT ELECTRICITE;487791980;13;6439988;811;Virement;31/10/2023;16 419,58;16 419,58;0;Paiement affecté;69251070;-;;SARL IMBERT ELECTRICITE            ;plusieurs documents associées;SOLDE
MEGALUX MI;531365393;10;4665330;6629;Virement;30/10/2023;4 518,29;4 518,29;0;Paiement affecté;69237496;-;;MEGALUX MI SARL                    ;202305890;Facture
AQUITAINE ECLAIRAGE;483014411;19;4672932;3296;Virement;30/10/2023;191,88;191,88;0;Paiement affecté;69237498;-;;AQUITAINE ECLAIRAGE                ;202305124;Facture
BALAS;562077792;82;7143469;7616;Virement;30/10/2023;2 132,40;2 132,40;0;Paiement affecté;69237497;-;;BALAS                              ;202305311;Facture
BITAROFF;498974146;17;4744956;227;Virement;27/10/2023;797,9;797,9;0;Paiement affecté;69228509;-;;BITAROFF                           ;202306283;Facture
BITAROFF;498974146;17;4744956;227;Virement;27/10/2023;80,4;80,4;0;Paiement affecté;69228511;-;;BITAROFF                           ;202306284;Facture
ERP;822899787;37;6657806;10919;Virement;27/10/2023;605,8;605,8;0;Paiement affecté;69228510;-;;ERP SARL                           ;plusieurs documents associées;SOLDE
METRES CARRES;528859085;29;5025795;5575;Virement;26/10/2023;1 606,69;1 606,69;0;Paiement affecté;69220482;-;;METRES CARRES                      ;69220482;Rétrocession d'un crédit
VERNASSA ELECTRICITE;500194188;16;7096087;5792;Virement;26/10/2023;382,37;382,37;0;Paiement affecté;69220483;-;;SARL  VERNASSA ELECTRICITE         ;202305581;Facture
CEF YESSS ELECTRIQUE;319883344;115;900468;;Chèque;25/10/2023;90,35;90,35;0;Paiement affecté;69212948;-;;                                   ;202305398;Facture
ESPACE LUMIERE;309931830;33;4641961;610;Virement;25/10/2023;1 854,47;1 854,47;0;Paiement affecté;69212953;-;;ESPACE LUMIERE                     ;202305858;Facture
MEGALUX MI;531365393;10;4665330;6629;Virement;25/10/2023;105,59;105,59;0;Paiement affecté;69212960;-;;MEGALUX MI SARL                    ;202305957;Facture
STUDIO ON;812801199;17;5097886;10437;Virement;25/10/2023;2 505,26;2 505,26;0;Paiement affecté;69212950;-;;SARL STUDIO ON                     ;69212950;Rétrocession d'un crédit
STUDIO ON;812801199;17;5097886;10437;Virement;25/10/2023;1 258,44;1 258,44;0;Paiement affecté;69212955;-;;SARL STUDIO ON                     ;69212955;Rétrocession d'un crédit
STUDIO ON;812801199;17;5097886;10437;Virement;25/10/2023;640,66;640,66;0;Paiement affecté;69212957;-;;SARL STUDIO ON                     ;69212957;Rétrocession d'un crédit
STUDIO ON;812801199;17;5097886;10437;Virement;25/10/2023;541,43;541,43;0;Paiement affecté;69212959;-;;SARL STUDIO ON                     ;69212959;Rétrocession d'un crédit
G & D CONCEPTS;449606565;41;6598447;5316;Virement;25/10/2023;2 207,11;2 207,11;0;Paiement affecté;69212952;-;;G   D CONCEPTS                     ;69212952;Rétrocession d'un crédit
LUMIDIS;382537504;13;4640861;502;Virement;24/10/2023;26 000,98;26 000,98;0;Paiement affecté;69204327;-;;LUMIDIS                            ;plusieurs documents associées;SOLDE
ENT D'ELECTRICITE BRENGUIER;423072172;38;4844999;264;Virement;24/10/2023;6,24;6,24;0;Paiement affecté;69204331;-;;SARL ENT D ELECTRICITE BRENGUIER   ;202306469;Facture
HENRI;702016452;22;5339496;778;Virement;24/10/2023;4 861,25;4 861,25;0;Paiement affecté;69204328;-;;ETS HENRI                          ;plusieurs documents associées;SOLDE
CLAUDE MERMIN ELECTRICITE;320917107;56;6309680;1047;Virement;24/10/2023;282,82;282,82;0;Paiement affecté;69204329;-;;SOCIETE CLAUDE MERMIN ELECTRICITE G;202305785;Facture
LUMIDIS;382537504;13;4640861;502;Virement;23/10/2023;13 564,69;13 564,69;0;Paiement affecté;69193847;-;;LUMIDIS                            ;202303479;Facture
SALUSTRA S A;668502156;15;4672952;8972;Chèque;23/10/2023;492,11;492,11;0;Paiement affecté;69193843;-;;                                   ;202305931;Facture
MEURICE S.P.A;345034904;10;5596457;789 MEURICE;Virement;23/10/2023;28,88;28,88;0;Paiement affecté;69193852;-;;MEURICE S P A                      ;202305870;Facture
ETS JEAN GRANIOU;958803553;97;5767532;739;Virement;23/10/2023;69 110,25;69 110,25;0;Paiement affecté;69193845;-;;ETABLISSEMENTS  JEAN  GRANIOU      ;plusieurs documents associées;SOLDE
SEE;997117999;98000;7154998;16412;Virement;23/10/2023;11 036,72;11 036,72;0;Paiement affecté;69193849;-;;SOCIETE D ENTREPRISE ELECTRIQUES   ;69193849;Rétrocession d'un crédit
L'ELECTRICIEN BY T;890859705;18;7444665;16881;Virement;23/10/2023;9 221,64;9 221,64;0;Paiement affecté;69193851;-;;MELJAC                             ;plusieurs documents associées;SOLDE
RDM;433792876;24;4702808;1224;Chèque;20/10/2023;2 157,76;2 157,76;0;Paiement affecté;69184844;-;;                                   ;plusieurs documents associées;SOLDE
CUST'HOME PACA;453816050;26;6703816;2776;Virement;20/10/2023;4 344,65;4 344,65;0;Paiement affecté;69184846;-;;CUST HOME PACA                     ;202305750;Facture
MAISON LAVAL;825950173;13;7325320;904;Virement;20/10/2023;32,88;32,88;0;Paiement affecté;69184847;-;;MAISON LAVAL                       ;202305304;Facture
SC - CEF - YESSS ELECTRIQUE;407899392;1026;4786569;1593;Eclatement de cash crédit;19/10/2023;8 768,72;8 768,72;0;Paiement affecté;69176434;-;;                                  G;202305404;Facture
STUDIO ON;812801199;17;5097886;10437;Virement;19/10/2023;5 789,89;5 789,89;0;Paiement affecté;69176437;-;;SARL STUDIO ON                     ;69176437;Rétrocession d'un crédit
HENRI COTE D'AZUR;798405072;25;6736215;8829;Virement;19/10/2023;472,03;472,03;0;Paiement affecté;69176440;-;;HENRI COTE D AZUR                  ;202305775;Facture
BALANCE MELJAC;999018989;78569;7777777;;Chèque;19/10/2023;12 067,88;12 067,88;0;Paiement affecté;69176434;-;;                                   ;plusieurs documents associées;SOLDE
ELECTRICITE PLAFONDS LUMIERE;380428011;49;4718343;556;Virement;18/10/2023;3,64;3,64;0;Paiement affecté;69167549;-;;ELECTRICITE PLAFONDS LUMIERE       ;202306077;Facture
BITAROFF;498974146;17;4744956;227;Virement;18/10/2023;4 624,52;4 624,52;0;Paiement affecté;69167542;-;;BITAROFF                           ;202306074;Facture
BITAROFF;498974146;17;4744956;227;Virement;18/10/2023;283,04;283,04;0;Paiement affecté;69167543;-;;BITAROFF                           ;202306090;Facture
BITAROFF;498974146;17;4744956;227;Virement;18/10/2023;11,42;11,42;0;Paiement affecté;69167548;-;;BITAROFF                           ;202306189;Facture
ENT D'ELECTRICITE BRENGUIER;423072172;38;4844999;264;Virement;18/10/2023;249,32;249,32;0;Paiement affecté;69167545;-;;SARL ENT D ELECTRICITE BRENGUIER   ;202306114;Facture
MAWA MONACO;997003850;98000;7563852;17651;Virement;18/10/2023;11 575,18;11 575,18;0;Paiement affecté;69167541;-;;MAWA MONACO                        ;plusieurs documents associées;SOLDE
METRES CARRES;528859085;29;5025795;5575;Virement;18/10/2023;114,91;114,91;0;Paiement affecté;69167547;-;;METRES CARRES                      ;69167547;Rétrocession d'un crédit
JEUX DE LUMIERE;489582320;29;4646611;850;Virement;17/10/2023;119,04;119,04;0;Paiement affecté;69156224;-;;S.A.R.L. JEUX DE LUMIERE           ;plusieurs documents associées;SOLDE
REXEL FRANCE;309304616;860;4665279;1344;Virement;17/10/2023;636,53;636,53;0;Paiement affecté;69156222;-;;REXEL FRANCE                       ;202305240;Facture
LUMIDIS;382537504;13;4640861;502;Virement;16/10/2023;21 660,61;21 660,61;0;Paiement affecté;69142671;-;;LUMIDIS                            ;plusieurs documents associées;SOLDE
SONEPAR IDF - MALAKOFF;572186989;180;4665282;285;Virement;16/10/2023;5,48;5,48;0;Paiement affecté;69142673;-;;SONEPAR FRANCE DISTRIBUTION        ;202305149;Facture
ESPACE LUMIERE;309931830;33;4641961;610;Virement;13/10/2023;1 282,26;1 282,26;0;Paiement affecté;69132179;-;;ESPACE LUMIERE                     ;plusieurs documents associées;SOLDE
LCRB BAT;537545394;42;6445307;878;Virement;13/10/2023;1 749,44;1 749,44;0;Paiement affecté;69132178;-;;SARL LC DECO                       ;202305663;Facture
REXEL FRANCE;309304616;860;4665279;1344;Virement;12/10/2023;484,88;484,88;0;Paiement affecté;69120738;-;;REXEL FRANCE                       ;69120738;Rétrocession d'un crédit
ROGER DUBOIS SAS;552078636;40;4702812;1274;Virement;11/10/2023;552,91;552,91;0;Paiement affecté;69116920;-;;ROGER DUBOIS SARL                  ;202305392;Facture
ENT D'ELECTRICITE BRENGUIER;423072172;38;4844999;264;Virement;11/10/2023;467,59;467,59;0;Paiement affecté;69116922;-;;SARL ENT D ELECTRICITE BRENGUIER   ;202305497;Facture
ASSA ABLOY HOSPITALITY;323946863;61;6542137;10085;Virement;11/10/2023;99,32;99,32;0;Paiement affecté;69116924;-;;ASSA ABLOY GLOBAL SOLUTIONS FRANCE ;plusieurs documents associées;SOLDE
